"","CaseID","nClients","nMH","nClose","ratio"
"363",52058,6,2,4,0.33
"364",52085,9,4,4,0.44
"365",52145,7,5,3,0.71
"366",52184,6,2,2,0.33
"367",52204,4,3,2,0.75
"368",52223,5,1,3,0.2
"369",52239,14,2,2,0.14
"370",52276,5,2,2,0.4
"371",52283,5,3,2,0.6
"372",52302,9,4,2,0.44
"373",52338,4,3,2,0.75
"374",52343,6,3,2,0.5
"375",52359,6,2,2,0.33
"376",52372,6,2,2,0.33
"377",52375,5,2,2,0.4
"378",52396,5,1,2,0.2
"379",52405,5,3,3,0.6
"380",52485,3,0,4,0
"381",52546,5,3,3,0.6
"382",52552,8,3,2,0.38
"383",52761,8,1,3,0.12
"384",52926,5,1,2,0.2
"385",52937,4,3,3,0.75
"386",52947,6,2,4,0.33
"387",52964,4,0,3,0
"388",52971,5,0,2,0
"389",52976,6,1,2,0.17
"390",53000,3,2,2,0.67
"391",53005,9,5,2,0.56
"392",53054,3,2,2,0.67
"393",53115,5,2,2,0.4
"394",53194,4,1,2,0.25
"395",53200,7,2,2,0.29
"396",53205,10,5,1,0.5
"397",53215,3,1,2,0.33
"398",53264,4,2,2,0.5
"399",53266,5,1,2,0.2
"400",53282,8,4,2,0.5
"401",53305,8,2,2,0.25
"402",53410,5,0,2,0
"403",53426,6,2,2,0.33
"404",53432,10,5,2,0.5
"405",53446,4,2,2,0.5
"406",53534,5,4,3,0.8
"407",53561,7,5,2,0.71
"408",53573,5,1,2,0.2
"409",53575,7,5,4,0.71
"410",53603,8,3,2,0.38
"411",53659,5,3,3,0.6
"412",53673,6,3,2,0.5
"413",53679,3,1,1,0.33
"414",53688,6,0,3,0
"415",53742,6,2,2,0.33
"416",53793,9,5,3,0.56
"417",53838,3,1,3,0.33
"418",53929,4,3,2,0.75
"419",53948,5,2,2,0.4
"420",54075,5,1,3,0.2
"421",54083,7,4,2,0.57
"422",54120,6,1,2,0.17
"423",54125,4,1,2,0.25
"424",54158,5,2,2,0.4
"425",54179,10,7,3,0.7
"426",54207,6,5,2,0.83
"427",54231,7,1,3,0.14
"428",54237,2,1,3,0.5
"429",54256,5,1,2,0.2
"430",54269,10,6,3,0.6
"431",54285,4,0,2,0
"432",54390,10,7,2,0.7
"433",54394,6,3,2,0.5
"434",54427,8,4,2,0.5
"435",54505,7,4,3,0.57
"436",54538,8,1,1,0.12
"437",54586,7,3,4,0.43
"438",54600,6,1,2,0.17
"439",54642,6,5,2,0.83
"440",54680,5,3,3,0.6
"441",54686,6,4,2,0.67
"442",54748,4,3,2,0.75
"443",54758,7,4,3,0.57
"444",54781,7,3,1,0.43
"445",54788,5,3,2,0.6
"446",54814,3,0,2,0
"447",54856,5,2,1,0.4
"448",54859,7,2,2,0.29
"449",54874,15,4,3,0.27
"450",54935,7,1,3,0.14
"451",54949,5,4,2,0.8
"452",54950,11,6,2,0.55
"453",54954,9,2,3,0.22
"454",54968,5,1,3,0.2
"455",55040,12,5,4,0.42
"456",55059,4,2,2,0.5
"457",55101,4,2,2,0.5
"458",55112,10,6,2,0.6
"459",55133,5,3,2,0.6
"460",55136,5,2,2,0.4
"461",55175,5,3,3,0.6
"462",55198,6,5,3,0.83
"463",55219,6,2,3,0.33
"464",55236,5,4,2,0.8
"465",55245,1,0,3,0
"466",55273,3,1,2,0.33
"467",55335,7,2,3,0.29
"468",55383,6,1,2,0.17
"469",55392,5,0,3,0
"470",55504,5,2,2,0.4
"471",55525,3,2,2,0.67
"472",55600,13,8,3,0.62
"473",55615,3,2,2,0.67
"474",55623,6,2,2,0.33
"475",55700,8,3,3,0.38
"476",55719,11,6,4,0.55
"477",55823,8,2,2,0.25
"478",55839,3,1,3,0.33
"479",55841,8,0,2,0
"480",55869,4,0,2,0
"481",55881,10,9,2,0.9
"482",55993,8,5,2,0.62
"483",56007,5,2,2,0.4
"484",56008,7,3,3,0.43
"485",56103,4,2,3,0.5
"486",56115,5,1,2,0.2
"487",56122,6,1,3,0.17
"488",56127,5,2,2,0.4
"489",56141,3,1,2,0.33
"490",56156,9,1,2,0.11
"491",56183,3,1,2,0.33
"492",56191,6,0,3,0
